name,food_group
other vegetable product,vegetables
heart of palm,vegetables
morchella (morel),vegetables
tree fern,vegetables
pepper (c. pubescens),vegetables
cabbage,vegetables
mushrooms,vegetables
onion-family vegetables,vegetables
brassicas,vegetables
green vegetables,vegetables
root vegetables,vegetables
green bell pepper,vegetables
yellow bell pepper,vegetables
orange bell pepper,vegetables
red bell pepper,vegetables
italian sweet red pepper,vegetables
white cabbage,vegetables
romaine lettuce,vegetables
cucumber,vegetables
beetroot,vegetables
celery,vegetables
